event_id,event_type,period_id,timestamp,end_timestamp,ball_state,ball_owning_team,team_id,player_id,coordinates_x,coordinates_y,end_coordinates_x,end_coordinates_y,receiver_player_id,result,success,pass_type,is_under_pressure,is_counter_attack,match_id,home_team,away_team,pass_distance,pass_angle,distance_from_own_goal,distance_to_opponent_goal,zone_start,zone_end,lateral_start,lateral_end,pass_progression,is_forward_pass,is_backward_pass,lateral_movement,is_long_pass,is_short_pass,is_diagonal_pass,is_cross_field,pass_into_final_third,pass_into_box,body_part_DROP_KICK,body_part_HEAD,body_part_KEEPER_ARM,body_part_LEFT_FOOT,body_part_OTHER,body_part_RIGHT_FOOT,pass_type_CROSS,pass_type_HAND_PASS,pass_type_HEAD_PASS,pass_type_HIGH_PASS,pass_type_LONG_BALL,pass_type_SHOT_ASSIST,pass_type_THROUGH_BALL,set_piece_CORNER_KICK,set_piece_FREE_KICK,set_piece_GOAL_KICK,set_piece_KICK_OFF,set_piece_THROW_IN,zone_start_defensive,zone_start_middle,zone_start_attacking,zone_end_defensive,zone_end_middle,zone_end_attacking,lateral_start_left,lateral_start_center,lateral_start_right,lateral_end_left,lateral_end_center,lateral_end_right,pass_success
ea243a1a-d8d5-4005-a0d3-cbc5e262cf50,PASS,1,0 days 00:24:32.133000,0 days 00:24:36.253000,alive,796,796,5172,0.1003968253968254,0.6414460784313725,0.7489115646258504,0.7627696078431372,,INCOMPLETE,False,LONG_BALL,1,0,7525,Russia,Saudi Arabia,0.6597656900644483,10.596354656850679,39.35868196878009,126.19433667254778,defensive,defensive,left,left,0.648514739229025,1,0,0.12132352941176472,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0
c75552a7-ebb5-40a9-9832-1fae66b0f746,PASS,1,0 days 00:24:36.253000,0 days 00:24:38.813000,alive,799,799,5197,0.2510884353741496,0.2372303921568627,0.1788690476190476,0.0169607843137254,5183.0,COMPLETE,True,HIGH_PASS,0,0,7525,Russia,Saudi Arabia,0.23180668693351208,-108.15266929409708,39.76356236919415,126.17796823454955,defensive,defensive,left,left,-0.072219387755102,0,1,0.22026960784313732,0,1,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
c5ef7ecb-875e-44f6-966e-02c3dca29502,PASS,1,0 days 00:24:38.813000,0 days 00:24:41.813000,alive,799,799,5183,0.1701785714285714,0.0169607843137254,0.0742063492063492,0.2372303921568627,5197.0,COMPLETE,True,,1,0,7525,Russia,Saudi Arabia,0.24026936462570733,113.54292180553676,39.98340137693741,126.32430300035867,defensive,defensive,left,left,-0.0959722222222222,0,1,0.22026960784313732,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
7457bbaf-a918-4c30-8f19-af84faff29f5,PASS,1,0 days 00:24:42.773000,0 days 00:24:43.973000,alive,799,799,5197,0.0654761904761904,0.277671568627451,0.1265873015873015,0.5605637254901961,5184.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.2894175881243061,77.81012734418157,39.72238239508485,126.34141592299439,defensive,defensive,left,left,0.0611111111111111,1,0,0.28289215686274505,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
38717eb2-0a61-414c-b0f6-81896b262fb7,PASS,1,0 days 00:24:47,0 days 00:24:48.333000,alive,799,799,5184,0.1265873015873015,0.6279656862745098,0.2037414965986394,0.4259558823529412,5173.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.21624229625186223,-69.0964969772912,39.372237812272,126.17365873257836,defensive,defensive,left,left,0.07715419501133791,1,0,0.2020098039215686,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
0c0e1b53-943d-4af0-8a56-fc9785577678,PASS,1,0 days 00:24:49.520000,0 days 00:24:50.413000,alive,799,799,5173,0.2195238095238095,0.4529044117647058,0.3299999999999999,0.3315931372549019,5178.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.16407746336814358,-47.6763871398129,39.54770486599655,126.14014129484022,defensive,defensive,left,left,0.1104761904761904,1,0,0.12131127450980389,0,1,1,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
e6f84a2c-ffdd-40e3-bd3e-ab6fd9f342d3,PASS,1,0 days 00:24:51.053000,0 days 00:24:51.933000,alive,799,799,5178,0.322108843537415,0.3450735294117647,0.2116326530612245,0.4259558823529412,5173.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.13691947881668465,143.79121873802313,39.65623466108254,126.0766069699128,defensive,defensive,left,left,-0.11047619047619048,0,1,0.08088235294117646,0,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
25e2ca7e-7e98-470f-af20-cabdf23c515c,PASS,1,0 days 00:24:54.613000,0 days 00:24:57.253000,alive,799,799,5173,0.2353061224489795,0.3720343137254902,0.4607857142857143,0.3046323529411764,,INCOMPLETE,False,,0,0,7525,Russia,Saudi Arabia,0.23533820482962534,-16.64283074157124,39.62866428992796,126.150535329883,defensive,defensive,left,left,0.2254795918367348,1,0,0.06740196078431376,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0
6584a80b-c400-46cb-9b96-bfbeaf9119a4,PASS,1,0 days 00:24:57.253000,0 days 00:24:59.933000,alive,799,796,5171,0.5392142857142856,0.6953676470588235,0.6068707482993198,0.9943464052287584,,OUT,False,,0,0,7525,Russia,Saudi Arabia,0.30653824356245757,77.24918391063095,39.30833087840018,125.76061962265597,defensive,defensive,left,left,0.0676564625850341,1,0,0.2989787581699349,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0
13bf01c6-8645-4adf-8efa-f20128ae52c6,PASS,1,0 days 00:25:04.320000,0 days 00:25:06.093000,alive,799,799,5183,0.322108843537415,0.0056535947712418,0.2195238095238095,0.1300326797385621,5197.0,COMPLETE,True,HIGH_PASS,0,0,7525,Russia,Saudi Arabia,0.16122607103344197,129.51503491228019,39.99564349386718,126.18377619979337,defensive,defensive,left,left,-0.10258503401360547,0,1,0.12437908496732031,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,1
fa939840-a44b-46a0-8afc-0cac2b022495,PASS,1,0 days 00:25:07.893000,0 days 00:25:10.452000,alive,799,799,5197,0.1875595238095238,0.163954248366013,0.1701785714285714,0.6953676470588235,5184.0,COMPLETE,True,LONG_BALL,0,0,7525,Russia,Saudi Arabia,0.5316975623565646,91.87330680841106,39.836487291191325,126.26136160356803,defensive,defensive,left,left,-0.017380952380952386,0,1,0.5314133986928105,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
e4b16f7b-0214-40d5-a96a-c191eb244f0f,PASS,1,0 days 00:25:12.853000,0 days 00:25:15.373000,alive,799,799,5184,0.1701785714285714,0.6953676470588235,0.0567460317460317,0.5605637254901961,5189.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.1761789951416218,-130.07937688004398,39.30500076511949,126.11122165772238,defensive,defensive,left,left,-0.1134325396825397,0,1,0.13480392156862742,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
0f5ccd4d-b56c-49cd-a2b0-63a3945794c0,PASS,1,0 days 00:25:29.813000,0 days 00:25:32.172000,alive,799,799,5189,0.1875595238095238,0.6144852941176471,0.2353061224489795,0.1074183006535947,5197.0,COMPLETE,True,LONG_BALL,0,0,7525,Russia,Saudi Arabia,0.5093099974890642,-84.62075814186522,39.385961296155344,126.11994156955498,defensive,defensive,left,left,0.04774659863945571,1,0,0.5070669934640524,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
2fbd36cd-389a-41ae-bc31-aa13b3ccb088,PASS,1,0 days 00:25:35.373000,0 days 00:25:38.373000,alive,799,799,5197,0.2905442176870748,0.0169607843137254,0.7410204081632652,0.0621895424836601,,INCOMPLETE,False,LONG_BALL,0,0,7525,Russia,Saudi Arabia,0.4527410283501324,5.733403089066456,39.98409484864623,126.21013124397201,defensive,defensive,left,left,0.4504761904761904,1,0,0.0452287581699347,0,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0
24991029-3af7-4819-b715-c78205b82e8f,PASS,1,0 days 00:25:48.280000,0 days 00:25:48.640000,alive,799,799,5183,0.6936734693877551,0.0056535947712418,0.6699999999999999,0.0961111111111111,5178.0,COMPLETE,True,HIGH_PASS,0,0,7525,Russia,Saudi Arabia,0.09350398609273672,104.66585078944111,40.000361589160256,125.83142411421125,defensive,defensive,left,left,-0.023673469387755164,0,1,0.0904575163398693,0,1,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,1
c9c8a573-09c2-4c1a-8945-c4d82e5cb1f2,PASS,1,0 days 00:25:48.640000,0 days 00:25:49.573000,alive,799,799,5178,0.6699999999999999,0.0961111111111111,0.65421768707483,0.0282679738562091,5183.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.06965466727976999,-103.09577013377913,39.90951325757795,125.82515348075992,defensive,defensive,left,left,-0.01578231292516996,0,1,0.06784313725490201,0,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
cf36b678-0cde-43b8-b710-f99ef05c8e31,PASS,1,0 days 00:25:49.573000,0 days 00:25:50.573000,alive,799,799,5183,0.65421768707483,0.0282679738562091,0.6463265306122449,0.1300326797385621,5173.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.1020701999294545,94.43402260166951,39.97708546094788,125.86165070049722,defensive,defensive,left,left,-0.007891156462585092,0,1,0.10176470588235301,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
66f47003-6f6c-4f41-86f8-fe284aa8cdcf,PASS,1,0 days 00:25:52.413000,0 days 00:25:55.773000,alive,799,799,5173,0.6147619047619047,0.2641911764705882,0.7646938775510204,0.9604248366013072,5191.0,COMPLETE,True,LONG_BALL,0,0,7525,Russia,Saudi Arabia,0.7121944298879721,77.84710674379579,39.740564100923685,125.82436003380573,defensive,defensive,left,left,0.14993197278911563,1,0,0.696233660130719,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
e7d848c9-a630-4fca-b5fa-b3eec86c9fec,PASS,1,0 days 00:25:57.760000,0 days 00:25:58.853000,alive,799,799,5191,0.8124404761904762,0.9604248366013072,0.7568027210884354,0.8134313725490195,5192.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.15717072967599868,-110.73190283639899,39.048027971537934,125.41835102639604,defensive,defensive,left,left,-0.05563775510204083,0,1,0.14699346405228764,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
3602d211-0597-4361-95ae-2324071fa159,PASS,1,0 days 00:26:01.493000,0 days 00:26:03.173000,alive,799,796,5194,0.2826530612244898,0.2372303921568627,0.4089115646258503,0.2372303921568627,5186.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.12625850340136052,0.0,39.763774212710665,126.14801229090197,defensive,defensive,left,left,0.12625850340136052,1,0,0.0,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
d8791a63-34b7-4824-9597-7516c5f08b7c,PASS,1,0 days 00:26:10.600000,0 days 00:26:11.213000,alive,799,796,5186,0.9345238095238096,0.1413398692810457,0.9257936507936508,0.1752614379084967,,INCOMPLETE,False,,1,0,7525,Russia,Saudi Arabia,0.03502696803322599,104.43260673231715,39.86961402078946,125.55994746686149,defensive,defensive,left,left,-0.00873015873015881,0,1,0.03392156862745099,0,1,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0
730e0360-50f1-4944-a7b8-6958431f158d,PASS,1,0 days 00:26:16.655000,0 days 00:26:17.773000,alive,799,799,5192,0.2431972789115646,0.9151960784313724,0.2353061224489795,0.7762499999999999,5173.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.13916997902483896,-93.2505040712075,39.085560537159196,125.97346425166357,defensive,defensive,left,left,-0.007891156462585092,0,1,0.13894607843137252,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
18038136-f369-4f89-91e7-b0dc4bbaf1bc,PASS,1,0 days 00:26:19.813000,0 days 00:26:21.493000,alive,799,799,5173,0.2510884353741496,0.722328431372549,0.3694557823129252,0.3855147058823529,,INCOMPLETE,False,,0,0,7525,Russia,Saudi Arabia,0.35700744319959155,-70.63685866811376,39.27847412076167,126.02593901560721,defensive,defensive,left,left,0.1183673469387756,1,0,0.33681372549019606,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0
d887c951-b876-4e0b-b99d-cdf8f859f3bc,PASS,1,0 days 00:26:26.413000,0 days 00:26:26.893000,alive,799,799,5187,0.2905442176870748,0.277671568627451,0.2353061224489795,0.3315931372549019,5173.0,COMPLETE,True,,1,0,7525,Russia,Saudi Arabia,0.07719315208473988,135.69098565083254,39.72339099261617,126.12778115747285,defensive,defensive,left,left,-0.05523809523809528,0,1,0.0539215686274509,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
aef351df-d77e-4ba7-9912-f4e4da39388d,PASS,1,0 days 00:26:27.653000,0 days 00:26:28.373000,alive,799,799,5173,0.2431972789115646,0.3315931372549019,0.2668707482993198,0.2507107843137255,5178.0,COMPLETE,True,,0,0,7525,Russia,Saudi Arabia,0.08427566772297927,-73.68576547642067,39.6691523471923,126.15575413355499,defensive,defensive,left,left,0.02367346938775519,1,0,0.0808823529411764,0,1,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1
