pass_distance,pass_angle,distance_from_own_goal,distance_to_opponent_goal,pass_progression,lateral_movement,is_forward_pass,is_backward_pass,is_long_pass,is_short_pass,is_diagonal_pass,is_cross_field,pass_into_final_third,pass_into_box,is_under_pressure,is_counter_attack,body_part_DROP_KICK,body_part_HEAD,body_part_KEEPER_ARM,body_part_LEFT_FOOT,body_part_OTHER,body_part_RIGHT_FOOT,pass_type_CROSS,pass_type_HAND_PASS,pass_type_HEAD_PASS,pass_type_HIGH_PASS,pass_type_LONG_BALL,pass_type_SHOT_ASSIST,pass_type_THROUGH_BALL,set_piece_CORNER_KICK,set_piece_FREE_KICK,set_piece_GOAL_KICK,set_piece_KICK_OFF,set_piece_THROW_IN,zone_start_defensive,zone_start_middle,zone_start_attacking,zone_end_defensive,zone_end_middle,zone_end_attacking,lateral_start_left,lateral_start_center,lateral_start_right,lateral_end_left,lateral_end_center,lateral_end_right,pass_success,match_id
0.056535947712418294,90.0,39.880918104643506,125.56353736090573,0.0,0.056535947712418294,0,0,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.07764325979238595,-25.90562260573216,39.16400898145675,126.16697394241228,0.06984126984126991,0.03392156862745088,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.10784313725490191,-90.0,39.26455996810106,126.09862335626725,0.0,0.10784313725490191,0,0,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.11428984840478781,173.22624221523697,39.27793570911688,126.12765281649416,-0.1134920634920635,0.013480392156862697,0,1,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.3943732162866327,11.351360806469213,39.26420306569848,126.23131271222317,0.3866587301587302,0.07762254901960786,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.09675170068027211,180.0,39.16636601449478,125.81609571540156,-0.09675170068027211,0.0,0,1,0,1,0,0,0,0,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.1301662589511039,-37.45015377204323,39.00771500258704,125.79887492248835,0.10333673469387755,0.07915032679738598,1,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.08648580600477859,-113.76829185944048,39.918273257011755,125.9941040450194,-0.03485714285714281,0.0791503267973856,0,1,0,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.2895358470529546,-27.94564784801279,39.0097505894907,125.6426477226923,0.25577380952380946,0.1356862745098042,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.1367949655360854,-97.29964260460055,39.85906147355154,126.27674453407401,-0.017380952380952386,0.1356862745098039,0,1,0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.3316189880807376,-79.38077828353,39.015431076652725,125.34984967872116,0.06111111111111123,0.3259395424836603,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.4925311475217603,-22.120531839448514,39.628052474186745,126.29520094204742,0.4562777777777777,0.18546568627450977,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.13819387755102036,0.0,39.18927766964345,125.7982945545759,0.13819387755102036,0.0,1,0,0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.10395351496001706,-6.244508206727341,39.81545095844619,126.05167685146141,0.10333673469387755,0.01130718954248372,1,0,0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.21788316116584602,-61.912079574474156,39.01196233566744,125.51317737622394,0.10258503401360541,0.1922222222222224,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.05915319943518524,107.10746652036815,39.904251768489075,126.29927336315166,-0.017400793650793694,0.05653594771241831,0,1,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.06514256206365734,-159.6867748183776,39.84768016865711,126.28966890433455,-0.06109126984126981,0.0226143790849673,0,1,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.04365079365079359,0.0,39.85874641632014,126.36777636714098,0.04365079365079359,0.0,1,0,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.11697733039136804,-22.745932848227746,39.94934682311606,126.34664269824276,0.10787981859410428,0.0452287581699346,1,0,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.16224794172772705,-50.04944295230719,39.013941982716254,125.4156758569813,0.10418367346938773,0.12437908496732042,1,0,0,1,1,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.3260564384058557,-88.46572256881662,39.01663883831026,125.30007035133166,0.00873015873015881,0.3259395424836603,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.08088235294117652,-90.0,39.6549959017779,126.31195183418114,0.0,0.08088235294117652,0,0,0,1,0,0,0,0,0,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.08536268792573107,-127.8523102136142,39.27510410713485,125.38079329161945,-0.05238095238095242,0.0674019607843136,0,1,0,1,0,0,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.5626842441226133,-85.55075227925626,39.34148439923136,125.44336614193945,0.04365079365079372,0.5609885620915034,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,0,7478
0.19398706353582973,-6.694577245481896,39.107488703885835,126.14113583171445,0.19266439909297056,0.02261437908496733,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.0943627450980391,-90.0,39.22436430033568,126.03914090662367,0.0,0.0943627450980391,0,0,0,1,0,0,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.11235526612147408,162.4274329315583,39.92042855436044,125.85119089073753,-0.10711224489795923,0.03392156862745101,0,1,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.5427395123897548,114.01489690655656,39.88435430551901,125.98336172945176,-0.2208809523809524,0.49575980392156865,0,1,0,1,0,0,0,0,1,0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.12274654178893497,33.30631579981617,39.35974596895135,125.99869537179123,0.10258503401360541,0.06740196078431382,1,0,0,1,1,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.16010941264526038,170.305790971366,39.23912151459587,125.88586701603988,-0.15782312925170072,0.026960784313725616,0,1,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.5795145131123077,-90.78021158041162,39.21092909236533,126.02744688538988,-0.00789115646258498,0.5794607843137256,0,1,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.25542391467632924,-54.05610992002294,39.776900100802905,126.20468370782646,0.1499319727891157,0.20678921568627462,1,0,0,1,1,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.1829379348820801,137.16434889973422,39.98481981496615,126.12780244787105,-0.1341496598639456,0.1243790849673203,0,1,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.20647132785904668,124.66931743396374,39.82543371402501,126.21248631226011,-0.1174489795918367,0.16981209150326804,0,1,0,1,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
0.2998797701548728,-66.94257206377571,39.62814094477146,126.26204433816584,0.1174489795918367,0.2759232026143791,1,0,0,1,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,1,7478
