event_id,event_type,period_id,timestamp,end_timestamp,ball_state,ball_owning_team,team_id,player_id,coordinates_x,coordinates_y,end_coordinates_x,end_coordinates_y,receiver_player_id,set_piece_type,body_part_type,result,success,pass_type,is_under_pressure,is_counter_attack,match_id,home_team,away_team
4d763d45-074d-45d2-8a3f-8d1e260bf256,PASS,1,0 days 00:09:21.447000,0 days 00:09:22.807000,alive,787,787,5671,0.29054421768707483,0.5605637254901961,0.3536734693877551,0.14133986928104575,5675,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
57abfa80-b183-4ddd-a959-330e4ab5ab04,PASS,1,0 days 00:09:24.887000,0 days 00:09:29.007000,alive,787,787,5675,0.42592857142857143,0.277671568627451,0.9956349206349207,0.17526143790849674,,,RIGHT_FOOT,OUT,False,LONG_BALL,,,7556,Japan,Senegal
12a1a4fb-444f-46f2-a155-2be3f208e61e,PASS,1,0 days 00:09:39.394000,0 days 00:09:41.567000,alive,778,778,5682,0.1003968253968254,0.1865686274509804,0.14404761904761904,0.43943627450980394,5681,,LEFT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
2e0665e9-1964-45d6-8820-a1006ec66618,PASS,1,0 days 00:09:46.154000,0 days 00:09:47.887000,alive,778,778,5681,0.24319727891156462,0.43943627450980394,0.29054421768707483,0.1300326797385621,5682,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
a72b0b61-0336-4d2b-8a4d-e2c28a4ced41,PASS,1,0 days 00:09:47.887000,0 days 00:09:49.527000,alive,778,778,5682,0.29054421768707483,0.21026960784313728,0.2195238095238095,0.3315931372549019,5681,,LEFT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
91f8b176-b50b-4919-9701-594236320bd0,PASS,1,0 days 00:09:52.914000,0 days 00:09:54.607000,alive,778,778,5681,0.29054421768707483,0.5470955882352941,0.32999999999999996,0.8812745098039216,3300,,LEFT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
e4abe2d0-2701-4b64-8c47-053b76b2bbfb,PASS,1,0 days 00:09:55.514000,0 days 00:09:56.607000,alive,778,778,3300,0.33789115646258505,0.8586601307189542,0.4695,0.9830392156862745,3530,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
625648ae-069a-4446-9943-882afb06abb2,PASS,1,0 days 00:09:57.874000,0 days 00:09:59.327000,alive,778,778,3530,0.4869285714285714,0.9830392156862745,0.5653571428571429,0.7627696078431372,5684,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
39013377-759f-49e9-91e8-1a8efad13f95,PASS,1,0 days 00:09:59.914000,0 days 00:10:00.727000,alive,778,778,5684,0.5392142857142856,0.7627696078431372,0.4869285714285714,0.903888888888889,5697,,RIGHT_FOOT,COMPLETE,True,,True,,7556,Japan,Senegal
d1dc956f-d98d-43a0-8500-4c937aac1c05,PASS,1,0 days 00:10:01.474000,0 days 00:10:02.687000,alive,778,778,5697,0.49564285714285716,0.802124183006536,0.4089115646258503,0.6279656862745098,5681,,RIGHT_FOOT,COMPLETE,True,,True,,7556,Japan,Senegal
666feb19-c07c-4bd8-b216-eddf1aef520f,PASS,1,0 days 00:10:03.874000,0 days 00:10:06.007000,alive,778,778,5681,0.41721428571428576,0.5875245098039216,0.5740714285714286,0.0056535947712418304,,,RIGHT_FOOT,OUT,False,LONG_BALL,,,7556,Japan,Senegal
22408aa9-c758-4098-aa6b-64e094f3faba,PASS,1,0 days 00:10:20.087000,0 days 00:10:21.886000,alive,787,787,5674,0.4433571428571429,0.9830392156862745,0.6226530612244898,0.9604248366013072,2941,THROW_IN,,COMPLETE,True,HIGH_PASS,,,7556,Japan,Senegal
51d00bf1-7872-4572-907d-9ca56ceb24ee,PASS,1,0 days 00:10:29.087000,0 days 00:10:29.607000,alive,787,787,2941,0.9694444444444444,0.8247385620915032,0.9432539682539683,0.6279656862745098,,,RIGHT_FOOT,INCOMPLETE,False,CROSS,True,,7556,Japan,Senegal
6339fa5d-0ca9-4c47-b1c9-8d18e1116c2b,PASS,1,0 days 00:10:34.887000,0 days 00:10:36.486000,alive,787,787,4277,0.6936734693877551,0.8360457516339869,0.5653571428571429,0.6414460784313725,5671,,RIGHT_FOOT,COMPLETE,True,,,,7556,Japan,Senegal
