model,train_accuracy,test_accuracy,precision,recall,f1_score,roc_auc,cv_accuracy_mean,cv_accuracy_std
Random Forest,0.8689146469968387,0.7613751263902933,0.7765765765765765,0.9282124910265613,0.8456507521255723,0.8368159478712243,0.8415167951279856,0.0030551722503171616
XGBoost,0.932349841938883,0.7962588473205258,0.8252299605781866,0.9016511127063891,0.8617495711835335,0.8551548953559003,0.8611193073670614,0.00954580853610783
LightGBM,0.9260273972602739,0.8043478260869565,0.8375838926174497,0.8959081119885139,0.8657648283038502,0.8527767040329854,0.8583789591581232,0.006948835134078638
